dimension,basis,scaled,centered,max_reference_error,max_constant_error,max_q_error
2,1,0,0,7.7382308782337668e-12,1.4394336466470394e-11,6.6613381477509392e-16
2,1,0,1,5.4893879922198622e-12,1.598092376927695e-27,6.6613381477509392e-16
2,1,1,0,1.9926114103727843e-11,2.1156461519820841e-11,4.4408920985006262e-16
2,1,1,1,2.0890389909114019e-11,2.348839069890123e-27,4.4408920985006262e-16
2,0,0,0,2.4383196494711305e-11,2.7564855575883473e-11,6.6613381477509392e-16
2,0,0,1,1.9694602584329518e-11,1.4815434206140731e-26,6.6613381477509392e-16
2,0,1,0,2.1873298863895258e-11,3.1027411763612183e-11,8.8817841970012523e-16
2,0,1,1,1.4680853831512182e-11,6.8738383943390047e-27,8.8817841970012523e-16
2,2,0,0,5.7414829858627765e-11,1.7920522462037088e-11,3.3306690738754696e-16
2,2,0,1,5.9126009453386105e-11,1.9895776650665873e-27,3.3306690738754696e-16
2,2,1,0,5.0598535879727726e-11,1.9504091306267176e-11,4.4408920985006262e-16
2,2,1,1,5.1541127170544733e-11,4.330778248521833e-27,4.4408920985006262e-16
3,1,0,0,6.9172051712019431e-12,1.4392620932246003e-11,1.4432899320127035e-15
3,1,0,1,1.7090435178468116e-11,3.1958038287362996e-27,1.4432899320127035e-15
3,1,1,0,1.4735795423691553e-11,1.5021610098547182e-11,1.4432899320127035e-15
3,1,1,1,1.3293780296819807e-11,3.3354674796697697e-27,1.4432899320127035e-15
3,0,0,0,3.6247036380582968e-11,2.8032428445118749e-11,1.3322676295501878e-15
3,0,0,1,3.0269261865557776e-11,1.2448898998371205e-26,1.3322676295501878e-15
3,0,1,0,3.1813067213737981e-11,3.48675146799039e-11,1.3322676295501878e-15
3,0,1,1,2.6646472946175693e-11,3.0752614075263813e-26,1.3322676295501878e-15
3,2,0,0,1.4956926200659119e-10,1.7405804059300953e-10,1.3322676295501878e-15
3,2,0,1,1.6124654130116837e-10,1.9324324428749931e-26,1.3322676295501878e-15
3,2,1,0,8.2739515238143555e-11,8.7154478170618866e-11,7.7715611723760958e-16
3,2,1,1,8.9870365187127286e-11,3.8704363345684663e-26,7.7715611723760958e-16
